"straat","preflabel","wikidata"
"De Larijweg","De la Reyweg","http://www.wikidata.org/entity/Q19010155"
"Schelpkade","Schenkkade","http://www.wikidata.org/entity/Q2121218"
"Nieuwe Diepstraat","Nieuwediepstraat","http://www.wikidata.org/entity/Q19355248"
"Van de Helstraat","Van der Helststraat","http://www.wikidata.org/entity/Q19619685"
"Newthonstraat","Newtonstraat","http://www.wikidata.org/entity/Q19353983"
"Ged. Gracht","Gedempte Gracht","http://www.wikidata.org/entity/Q19120060"
"Jac van der Doesstraat","Jacob van der Doesstraat","http://www.wikidata.org/entity/Q19274337"
"Camara Obscurastraat","Camera Obscurastraat","http://www.wikidata.org/entity/Q18982274"
"Vinkensteijnstraat","Vinkensteynstraat","http://www.wikidata.org/entity/Q19635156"
"Engelburgerstraat","Engelenburgstraat","http://www.wikidata.org/entity/Q19118005"
"Westerbaanstraat","Westerbaenstraat","http://www.wikidata.org/entity/Q19649916"
"Van der Doesstraat","Jacob van der Doesstraat","http://www.wikidata.org/entity/Q19274337"
"Delftschelaan","Delftselaan","http://www.wikidata.org/entity/Q19014172"
"Jan van der Doesstraat","Jacob van der Doesstraat","http://www.wikidata.org/entity/Q19274337"
"Kokstraat","Kockstraat","http://www.wikidata.org/entity/Q19305138"
"Wapsstraat","Waalstraat","http://www.wikidata.org/entity/Q19644120"
"Wapsstraat","Waalstraat","http://www.wikidata.org/entity/Q19644120"
"Soestdijkkade","Soestdijksekade","http://www.wikidata.org/entity/Q19522954"
"Musschenbroekstraat","Van Musschenbroekstraat","http://www.wikidata.org/entity/Q19623244"
"Soestdijkschekade","Soestdijksekade","http://www.wikidata.org/entity/Q19522954"
"v.d. Woerdstraat","Van der Woertstraat","http://www.wikidata.org/entity/Q19620016"
"Sneltiusstraat","Snelliusstraat","http://www.wikidata.org/entity/Q19522633"
"Oudemanstraat","Oudemansstraat","http://www.wikidata.org/entity/Q19403003"
"Paul Potersstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Van Beijerenstraat","Abraham van Beyerenstraat","http://www.wikidata.org/entity/Q18928872"
"Van Beijerenstraat","Abraham van Beyerenstraat","http://www.wikidata.org/entity/Q18928872"
"Trompstraat","Tramstraat","http://www.wikidata.org/entity/Q19570236"
"Cyperesstraat","Cypresstraat","http://www.wikidata.org/entity/Q18986089"
"Kritzingestraat","Kritzingerstraat","http://www.wikidata.org/entity/Q19314276"
"Franc. Valentijnstraat","François Valentijnstraat","http://www.wikidata.org/entity/Q19158804"
"Westerbaanstraat","Westerbaenstraat","http://www.wikidata.org/entity/Q19649916"
"Westerbaanstraat","Westerbaenstraat","http://www.wikidata.org/entity/Q19649916"
"Westerbaanstraat","Westerbaenstraat","http://www.wikidata.org/entity/Q19649916"
"Doedinstraat","Doedijnstraat","http://www.wikidata.org/entity/Q19018853"
"Kon. Emmakade","Koningin Emmakade","http://www.wikidata.org/entity/Q19306728"
"Paralelweg","Parallelweg","http://www.wikidata.org/entity/Q19405878"
"J. Marisstraat","Jacob Marisstraat","http://www.wikidata.org/entity/Q19274077"
"Tonijnstraat","Tonystraat","http://www.wikidata.org/entity/Q19568473"
"P. Potterstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Piet Paaltjesstraat","Piet Paaltjensstraat","http://www.wikidata.org/entity/Q19413543"
"Direbergenstraat","Driebergenstraat","http://www.wikidata.org/entity/Q19053523"
"Franklinstraat","Frankenstraat","http://www.wikidata.org/entity/Q19158972"
"Franklinstraat","Frankenstraat","http://www.wikidata.org/entity/Q19158972"
"St. Jacobsstraat","St. Jacobstraat","http://www.wikidata.org/entity/Q19545467"
"N.Haven","Nieuwe Haven","http://www.wikidata.org/entity/Q13896180"
"N.Haven","Nieuwe Haven","http://www.wikidata.org/entity/Q13896180"
"Rijswijkschestraat","Rijswijksestraat","http://www.wikidata.org/entity/Q19472315"
"Delmanstraat","Deimanstraat","http://www.wikidata.org/entity/Q19013668"
"Van Blankenstraat","Jan Blankenstraat","http://www.wikidata.org/entity/Q19276268"
"Ged. Slaat","Gedempte Sloot","http://www.wikidata.org/entity/Q19120122"
"Ged. Slaat","Gedempte Sloot","http://www.wikidata.org/entity/Q19120122"
"Wateringstraat","Wateringsestraat","http://www.wikidata.org/entity/Q19645805"
"Ged. Slaat","Gedempte Sloot","http://www.wikidata.org/entity/Q19120122"
"Rijswijkscheweg","Rijswijkseweg","http://www.wikidata.org/entity/Q2455305"
"Oudemanstraat","Oudemansstraat","http://www.wikidata.org/entity/Q19403003"
"Tomsonlaan","Thomsonlaan","http://www.wikidata.org/entity/Q19566219"
"Trembleijstraat","Trembleystraat","http://www.wikidata.org/entity/Q19571030"
"Jan van der Heijdestraat","Jan van der Heijdenstraat","http://www.wikidata.org/entity/Q19262001"
"van Ravensteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"van Ravensteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"van Ravensteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"van Ravensteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"Gagelstraat","Gaffelstraat","http://www.wikidata.org/entity/Q19160972"
"Cillierstraat","Cilliersstraat","http://www.wikidata.org/entity/Q18980347"
"Van Dijkstraat","Van Dijckstraat","http://www.wikidata.org/entity/Q19620102"
"2e Schuijtstraat","2e Schuytstraat","http://www.wikidata.org/entity/Q18926210"
"Fhhrenheitstraat","Fahrenheitstraat","http://www.wikidata.org/entity/Q19131530"
"Stieltjestraat","Stieltjesstraat","http://www.wikidata.org/entity/Q19551037"
"Van Ravensteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"Usselingstraat","Usselincxstraat","http://www.wikidata.org/entity/Q19575894"
"Withuisstraat","Withuysstraat","http://www.wikidata.org/entity/Q18946973"
"Gouverneurslaan","Goeverneurlaan","http://www.wikidata.org/entity/Q19196379"
"Cillierstraat","Cilliersstraat","http://www.wikidata.org/entity/Q18980347"
"Cillierstraat","Cilliersstraat","http://www.wikidata.org/entity/Q18980347"
"Rijkelof van Goenstraat","Rijklof van Goensstraat","http://www.wikidata.org/entity/Q19468329"
"Paul Potterstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Paul Potterstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Loosduinscheweg","Loosduinseweg","http://www.wikidata.org/entity/Q19329788"
"De Mouchezonstraat","De Moucheronstraat","http://www.wikidata.org/entity/Q19010940"
"Keppelstraat","Kemperstraat","http://www.wikidata.org/entity/Q19293590"
"Keppelstraat","Kemperstraat","http://www.wikidata.org/entity/Q19293590"
"Pretoriastraat","Pretoriusstraat","http://www.wikidata.org/entity/Q19429619"
"Derde Braamstraat","3e Braamstraat","http://www.wikidata.org/entity/Q18926308"
"Van der Neerstraat","Van der Haerstraat","http://www.wikidata.org/entity/Q19619632"
"Delftschelaan","Delftselaan","http://www.wikidata.org/entity/Q19014172"
"Heemkerkstraat","Heemskerckstraat","http://www.wikidata.org/entity/Q19202521"
"v. Miereveltstraat","Van Miereveltstraat","http://www.wikidata.org/entity/Q19623105"
"Van Aersenstraat","Van Aerssenstraat","http://www.wikidata.org/entity/Q19616790"
"Twenstraat","Twentstraat","http://www.wikidata.org/entity/Q19575180"
"Ravesteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"Genestetlaan","De Genestetlaan","http://www.wikidata.org/entity/Q19007930"
"Spakenburgschestraat","Spakenburgsestraat","http://www.wikidata.org/entity/Q19529686"
"Smitstraat","Smientstraat","http://www.wikidata.org/entity/Q19522330"
"W. de Witstraat","Witte de Withstraat","http://www.wikidata.org/entity/Q1875696"
"Loosduinscheweg","Loosduinseweg","http://www.wikidata.org/entity/Q19329788"
"Fiskerstraat","Fischerstraat","http://www.wikidata.org/entity/Q19149761"
"Laan Copes van Cattenburg","Laan Copes van Cattenburch","http://www.wikidata.org/entity/Q1993776"
"Van Ravensteinsraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"Molenstraat","Morelstraat","http://www.wikidata.org/entity/Q19350486"
"Piersonlaan","Allard Piersonlaan","http://www.wikidata.org/entity/Q18936530"
"Schoolstraat","Scholstraat","http://www.wikidata.org/entity/Q19510901"
"Ravesteinstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"Rijswijkscheweg","Rijswijkseweg","http://www.wikidata.org/entity/Q2455305"
"Wateringschestraat","Wateringsestraat","http://www.wikidata.org/entity/Q19645805"
"Mandestraat","Maliestraat","http://www.wikidata.org/entity/Q19334203"
"Ravensteijnstraat","Van Ravesteinstraat","http://www.wikidata.org/entity/Q19623963"
"A. Paulonastraat","Anna Paulownastraat","http://www.wikidata.org/entity/Q18937791"
"A.Paulonastraat","Anna Paulownastraat","http://www.wikidata.org/entity/Q18937791"
"Westlandschestraat","Westlandsestraat","http://www.wikidata.org/entity/Q19651046"
"Viandusstraat","Viandenstraat","http://www.wikidata.org/entity/Q19634061"
"Lepperstraat","Lepelstraat","http://www.wikidata.org/entity/Q19325711"
"Jac. Catslaan","Jacob Catslaan","http://www.wikidata.org/entity/Q19273841"
"Jac. Catslaan","Jacob Catslaan","http://www.wikidata.org/entity/Q19273841"
"Valkeboschkade","Valkenboskade","http://www.wikidata.org/entity/Q19576495"
"Van der Duijnstraat","Van der Duynstraat","http://www.wikidata.org/entity/Q19619596"
"Isinkstraat","Isingstraat","http://www.wikidata.org/entity/Q19271619"
"Saseestraat","Chasséstraat","http://www.wikidata.org/entity/Q18986138"
"Driebergschestraat","Driebergenstraat","http://www.wikidata.org/entity/Q19053523"
"Speeenkruidstraat","Speenkruidstraat","http://www.wikidata.org/entity/Q19532682"
"Boekhorstrtaat","Boekhorststraat","http://www.wikidata.org/entity/Q18959344"
"Gouveneurslaan","Goeverneurlaan","http://www.wikidata.org/entity/Q19196379"
"Van der Duinstraat","Van der Duynstraat","http://www.wikidata.org/entity/Q19619596"
"Rijswijkscheweg","Rijswijkseweg","http://www.wikidata.org/entity/Q2455305"
"van der Duijnstraat","Van der Duynstraat","http://www.wikidata.org/entity/Q19619596"
"v.d. Duijnstraat","Van der Duynstraat","http://www.wikidata.org/entity/Q19619596"
"H. Zwaanderoonstraat","Hendrik Zwaardecroonstraat","http://www.wikidata.org/entity/Q19247875"
"Loenenschestraat","Loenensestraat","http://www.wikidata.org/entity/Q19329071"
"P.Potterstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Ohlstraat","Ohmstraat","http://www.wikidata.org/entity/Q19388076"
"P. Potterstraat","Paulus Potterstraat","http://www.wikidata.org/entity/Q19409256"
"Bothastraat","Boterstraat","http://www.wikidata.org/entity/Q18964080"
